pl_name,disposition,pl_orbper,pl_tranmid,pl_trandur,pl_rade,pl_radj,pl_radjerr1,pl_radjerr2,pl_ratror,st_rad,st_raderr1,st_raderr2,sy_dist,sy_disterr1,sy_disterr2,sy_plx,sy_plxerr1,sy_plxerr2
EPIC 201352100.01,CANDIDATE,13.38382,2457594.79,2.2008,2.7,0.24,0.015,-0.009,0.0326,0.65973,0.034864,-0.034925,194.195,3.666,-3.535,5.12323,0.094723,-0.094723
EPIC 201359834.01,CANDIDATE,40.1401,2456838.653,3.024,20.8,1.86,0.66,-0.9,0.266,0.716,0.131,-0.025,342.596,5.901,-5.901,2.89092,0.0498855,-0.0498855
EPIC 201366540.01,CANDIDATE,7.4433,2456810.647,1.632,2.73,0.244,0.042,-0.208,0.0346,0.724,0.053,-0.041,328.871,4.635,-4.511,3.01242,0.0419572,-0.0419572
EPIC 201390927.01,CANDIDATE,2.638,2457583.341,1.6992,2.91,0.26,0.04,-0.029,0.0265,,,,,,,,,
EPIC 201392505.01,CANDIDATE,27.47083,2457592.08,5.5008,3.36,0.3,0.023,-0.016,0.0412,0.749863,0.038988,-0.0685,273.773,6.33,-6.056,3.62627,0.0819519,-0.0819519
EPIC 201407812.01,CANDIDATE,2.8268121,2456812.488,6.8,40.1,3.57748238,,,0.456,0.98,,,649.666,21.421,-20.119,1.511,0.0488215,-0.0488215
EPIC 201441872.01,CANDIDATE,4.4416421,2456812.872,2.74,1.17,0.10438041,,,0.01089,0.9,,,243.084,3.037,-2.965,4.08569,0.0504015,-0.0504015
EPIC 201441872.01,CANDIDATE,4.44044,2456812.884,2.712,1.32,0.118,0.013,-0.029,0.01147,1.053,0.081,-0.088,243.084,3.037,-2.965,4.08569,0.0504015,-0.0504015
EPIC 201445732.01,CANDIDATE,11.20381,2456817.493,1.1328,2.18,0.194,0.029,-0.05,0.0182,1.1,0.14,-0.25,325.849,5.542,-5.362,3.04095,0.0509483,-0.0509483
EPIC 201456770.01,CANDIDATE,8.006875,2457586.039,2.5,2.384,0.2126866,0.01873498,-0.01686148,0.0258,0.846,0.056,-0.051,511.581,7.718,-7.718,1.92613,0.0292649,-0.0292649
EPIC 201488365.01,CANDIDATE,3.3643115,2456812.224,7.4,85.6,7.63672049,,,0.6248,1.32,,,147.352,1.189,-1.17,6.75818,0.0539106,-0.0539106
EPIC 201497682.01,CANDIDATE,13.837814,2456820.957,2.84,1.96,0.17485949,,,0.02306,0.7,,,253.026,1.664,-1.664,3.92339,0.0257985,-0.0257985
EPIC 201497682.01,CANDIDATE,13.8394,2456820.956,2.52,1.29,0.115,0.0098,-0.015,0.0214,0.554,0.016,-0.023,253.026,1.664,-1.664,3.92339,0.0257985,-0.0257985
EPIC 201497682.02,CANDIDATE,7.7991586,2456814.271,2.94,1.57,0.14006602,,,0.01829,0.7,,,253.026,1.664,-1.664,3.92339,0.0257985,-0.0257985
EPIC 201497682.02,CANDIDATE,7.79983,2456814.268,3.0,1.37,0.122,0.013,-0.039,0.0227,0.554,0.016,-0.023,253.026,1.664,-1.664,3.92339,0.0257985,-0.0257985
EPIC 201497682.04,CANDIDATE,3.883,2456810.85,2.03,1.06,0.09456703,0.00847535,-0.01364977,0.0176,0.554,0.016,-0.023,253.026,1.664,-1.664,3.92339,0.0257985,-0.0257985
EPIC 201512465.01,CANDIDATE,2.3330982,2456812.482,1.4,5.48,0.48889285,,,0.1061,0.5,,,166.356,6.263,-5.831,5.99467,0.216439,-0.216439
EPIC 201512465.01,CANDIDATE,2.333123,2456812.481,1.128,2.95,0.263,0.058,-0.269,0.121,0.224,0.026,-0.025,166.356,6.263,-5.831,5.99467,0.216439,-0.216439
EPIC 201512465.01,CANDIDATE,2.33293,2456810.152,1.2096,3.2,0.29,0.46,-0.46,0.12,0.224,0.025,-0.025,166.356,6.263,-5.831,5.99467,0.216439,-0.216439
EPIC 201515470.01,CANDIDATE,20.2073,2456822.867,3.72,2.12,0.189,0.026,-0.033,0.0255,0.7624,0.0811,-0.0074,345.0,3.854,-3.854,2.86997,0.0321342,-0.0321342
EPIC 201516974.01,CANDIDATE,36.762337,2456819.743,18.73,3.44,0.30689624,,,0.03712,0.75,,,792.41,33.1685,-33.1685,1.23319,0.0524242,-0.0524242
EPIC 201521212.01,CANDIDATE,19.565799,2457905.978,5.3,6.412,0.57204131,0.11303436,-0.08564561,0.0688,0.854,0.139,-0.119,,,,,,
EPIC 201528215.01,CANDIDATE,6.3991398,2456816.154,2.1,1.85,0.16504595,,,0.01901,0.8,,,333.838,2.85,-2.803,2.96672,0.025172,-0.025172
EPIC 201528215.01,CANDIDATE,6.39916,2456816.154,2.472,1.48,0.132,0.011,-0.021,0.0194,0.7006,0.0045,-0.03,333.838,2.85,-2.803,2.96672,0.025172,-0.025172
EPIC 201541160.01,CANDIDATE,15.695142,2457921.464,2.9,2.028,0.18092635,0.01739676,-0.01498798,0.0297,0.625,0.047,-0.043,197.438,1.014,-1.005,5.03609,0.0257007,-0.0257007
EPIC 201543531.01,CANDIDATE,2.48038,2456812.502,1.848,1.44,0.128,0.03,-0.113,0.0104,1.27,0.2,-0.12,415.742,8.12,-7.82,2.3772,0.0457532,-0.0457532
EPIC 201546136.01,CANDIDATE,1.9668579,2456810.595,2.4,1.51,0.13471318,,,0.01764,0.77,,,410.984,8.137,-7.833,2.4051,0.0469046,-0.0469046
EPIC 201546136.01,CANDIDATE,1.96712,2456810.594,2.712,1.73,0.154,0.032,-0.173,0.0192,0.826,0.074,-0.033,410.984,8.137,-7.833,2.4051,0.0469046,-0.0469046
EPIC 201556134.01,CANDIDATE,12.726743,2456822.0,3.88,1.91,0.17039879,,,0.02141,0.73,,,393.612,5.419,-5.419,2.51209,0.03471,-0.03471
EPIC 201561956.01,CANDIDATE,13.2359,2456814.5,2.64,2.09,0.186,0.021,-0.043,0.0208,0.924,0.033,-0.05,690.858,21.1245,-21.1245,1.41898,0.0439159,-0.0439159
EPIC 201563164.01,CANDIDATE,0.18746328,2456810.308,1.07,217.0,19.3594433,,,0.1236,17.27,,,141.166,2.521,-2.436,7.05846,0.1234,-0.1234
EPIC 201565013.01,CANDIDATE,8.63829,2456811.428,1.53192,6.81,0.608,0.068,-0.068,0.1408,0.438,0.042,-0.042,1338.23,200.265,-200.265,0.699965,0.108586,-0.108586
EPIC 201565013.01,CANDIDATE,8.6382631,2456811.428,1.89,8.53,0.76099563,,,0.162,0.5,,,1338.23,200.265,-200.265,0.699965,0.108586,-0.108586
EPIC 201565013.01,CANDIDATE,8.63795,2456811.428,2.0472,15.1,1.35,0.42,-0.65,0.317,0.438,0.044,-0.04,1338.23,200.265,-200.265,0.699965,0.108586,-0.108586
EPIC 201569483.01,FALSE POSITIVE,5.7968861,2456813.313,2.57,24.2,2.15897939,,,0.3232,0.72,,,233.55,1.958,-1.926,4.25315,0.0353389,-0.0353389
EPIC 201577017.01,CANDIDATE,0.4775252,2456810.336,2.0472,20.1,1.79,0.3,-0.4,0.353,0.522,0.039,-0.049,,,,,,
EPIC 201577112.01,CANDIDATE,44.394,2456826.007,2.784,4.07,0.363,0.091,-0.087,0.1174,0.318,0.077,-0.07,199.162,3.5115,-3.5115,4.99441,0.0878297,-0.0878297
EPIC 201577112.01,CANDIDATE,22.197992,2456826.004,2.54,5.34,0.47640289,,,0.112,0.4,,,199.162,3.5115,-3.5115,4.99441,0.0878297,-0.0878297
