toi,tfopwg_disp,st_pmra,st_pmraerr1,st_pmraerr2,st_pmdec,st_pmdecerr1,st_pmdecerr2,pl_tranmid,pl_orbper,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_rade,pl_insol,pl_eqt,st_tmag,st_tmagerr1,st_tmagerr2,st_dist,st_disterr1,st_disterr2,st_teff,st_tefferr1,st_tefferr2,st_logg,st_rad
102.01,KP,-15.641,0.037,-0.037,26.046,0.037,-0.037,2460187.917,4.4119378,3.65,0.011,-0.011,15062.0,69.1814,-69.1814,15.4706,653.252,1408.0,9.7109,0.006,-0.006,175.631,0.588,-0.588,6280.0,,,4.32092,1.21
1020.01,FP,-5.814,0.051,-0.051,4.328,0.047,-0.047,2458521.291,3.28892,3.793,0.202,-0.202,10518.9,530.608,-530.608,,29832.6,3661.0,10.7173,0.013,-0.013,906.827,23.8635,-23.8635,8734.2,283.6,-283.6,4.1,
1021.01,FP,-3.211,0.046,-0.046,-15.082,0.051,-0.051,2458492.904,1.90879,1.909,0.231,-0.231,618.482,1.43774,-1.43774,3.34688,985.807,1561.0,10.5551,0.006,-0.006,235.974,1.579,-1.579,6022.6,133.5,-133.5,4.52,1.22
1022.01,FA,-15.787,0.09,-0.09,-11.849,0.077,-0.077,2458547.448,3.09574,4.475,1.196,-1.196,380.0,,,3.4262,18087.9,3230.0,8.72924,0.007,-0.007,120.666,1.068,-1.068,6084.0,111.0,-111.0,4.13,1.41
1023.01,FP,-23.366,0.042,-0.042,22.652,0.04,-0.04,2459303.304,1.3214483,3.435,0.071,-0.071,2180.0,137.946,-137.946,21.8839,35623.2,3827.0,9.697,0.006,-0.006,316.398,2.247,-2.247,5050.8,86.8,-86.8,3.56,2.99
1024.01,FP,1.128,0.044,-0.044,11.563,0.047,-0.047,2458339.723,18.0157,2.524,0.403,-0.403,610.0,1.66317,-1.66317,21.644,7.64364,463.0,10.0814,0.006,-0.006,692.266,12.113,-12.113,4709.0,122.0,-122.0,,7.61
1025.01,PC,-19.153,0.168,-0.168,11.046,0.178,-0.178,2458545.15,9.6837921,2.4006056,0.0086986,-0.0086986,4238.239901,15.838111,-15.838111,,3176.310692,1914.698926,5.5324,0.006,-0.006,129.838,1.713,-1.713,8598.7,1245.7,-1245.7,,
1026.01,FP,47.228,0.047,-0.047,-6.325,0.039,-0.039,2460720.808,14.2628757,6.9350494,0.466316,-0.466316,913.2067174,37.2772746,-37.2772746,2.4765813,153.2069421,980.3628831,9.9138,0.006,-0.006,105.677,0.2575,-0.2575,5690.0,129.0,-129.0,4.58,0.853898
1027.01,PC,-87.554,0.073,-0.073,12.992,0.057,-0.057,2460037.869,3.2834565,1.537,0.709,-0.709,1558.0,185.42,-185.42,2.87648,161.092,992.0,10.2103,0.006,-0.006,56.3449,0.13245,-0.13245,4272.0,122.7,-122.7,4.6,0.68
1027.02,PC,-87.554,0.073,-0.073,12.992,0.057,-0.057,2460032.533,11.02875,2.715,0.404,-0.404,1694.0,104.432,-104.432,2.76586,15.0463,548.0,10.2103,0.006,-0.006,56.3449,0.13245,-0.13245,4272.0,122.7,-122.7,4.6,0.68
1027.03,PC,-87.554,0.073,-0.073,12.992,0.057,-0.057,2460032.573,5.0113292,1.024,0.471,-0.471,1210.0,182.035,-182.035,2.52314,17.1793,567.0,10.2103,0.006,-0.006,56.3449,0.13245,-0.13245,4272.0,122.7,-122.7,4.6,0.68
1028.01,FP,30.65,0.054,-0.054,-33.906,0.056,-0.056,2458544.481,1.01606,2.843,0.278,-0.278,240.0,0.375709,-0.375709,1.20704,2784.04,2023.0,7.9059,0.006,-0.006,23.7748,0.02025,-0.02025,4634.0,120.9,-120.9,4.64,0.68
103.01,KP,10.426,0.07,-0.07,15.62,0.051,-0.051,2458327.253,3.547854,3.494333,0.049205,-0.049205,10424.3718,123.359314,-123.359314,14.581841,1212.004376,1504.858953,11.5232,0.008,-0.008,411.211,7.752,-7.752,6351.0,,,4.22896,1.4
1030.01,FP,-26.184,2.184,-2.184,22.489,1.073,-1.073,2460054.784,12.1246519,4.612,0.667,-0.667,7279.0,6484.95,-6484.95,17.6729,207.32,1057.0,9.5706,0.006,-0.006,78.41273,2.83992,-2.83992,4807.6,60.0,-60.0,4.17,1.07
