kepid,koi_disposition,koi_period,koi_time0bk,koi_time0,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_incl,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_ldm_coeff2,koi_ldm_coeff1,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_bin_oedp_sig,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_fwm_stat_sig
10662202,CONFIRMED,21.67699193,171.53594,2455004.536,0.896,0.01,-0.663,3.4555,0.0656,-0.0656,857.0,27.1,-27.1,0.032666,2.1e-05,-0.00574,0.60007,4.80948,-0.06216,2.95,0.12,-0.23,0.1408,87.91,530.0,18.64,2.78,-3.8,24.6,11.6,-11.6,0.1451,0.582,5.911944,24.54073,34.3,4,62.0,0.6183,4954.0,79.0,-79.0,4.5,0.075,-0.02,0.828,0.032,-0.065,0.791,0.05,-0.029,0.103
10682541,CONFIRMED,4.99677968,171.74208,2455004.742,0.71,0.006,-0.533,2.1717,0.0762,-0.0762,935.0,39.7,-39.7,0.030014,0.0046,-0.00244,1.71827,2.68075,-1.40683,2.78,0.52,-0.23,0.0559,86.9,917.0,166.95,102.06,-42.14,13.14,5.1,-5.1,0.186,0.5256,4.132564,24.283327,28.2,1,208.0,0.036,5339.0,175.0,-159.0,4.552,0.034,-0.136,0.847,0.161,-0.069,0.931,0.063,-0.094,0.998
11460018,CONFIRMED,4.280963604,171.89659,2455004.897,0.424,0.112,-0.356,2.875,0.042,-0.042,751.0,14.1,-14.1,0.025377,0.000141,-0.000935,1.24482,0.4541,-0.15577,2.3,0.58,-0.19,0.0503,87.72,1012.0,247.87,182.24,-63.32,10.64,3.9,-3.9,0.2676,0.3928,6.7006826,52.913242,61.8,1,311.0,0.4302,5644.0,152.0,-169.0,4.564,0.032,-0.168,0.831,0.207,-0.069,0.928,0.094,-0.115,0.0
11463211,FALSE POSITIVE,1.50635409,170.998064,2455003.998,0.86,0.042,-0.125,1.5155,0.0483,-0.0483,2210.0,18.3,-18.3,0.049899,0.002,-0.00422,0.84722,0.97599,-0.30543,4.53,1.01,-0.44,0.025,79.38,1452.0,1054.12,703.1,-292.26,4.67,1.8,-1.8,0.2711,0.3858,9.787732,130.6654,181.1,1,882.0,1.0,5714.0,155.0,-172.0,4.563,0.04,-0.16,0.831,0.186,-0.08,0.926,0.09,-0.11,0.0
11465813,FALSE POSITIVE,670.645531,209.04355,2455042.044,0.701,0.004,-0.005,53.412,0.131,-0.131,18100.0,33.5,-33.5,0.131705,0.000242,-0.000326,0.02605,0.00045,-0.00046,14.14,2.13,-0.71,1.5155,89.53,196.0,0.35,0.15,-0.06,85.24,1.5,-1.5,0.2111,0.4955,70.64302,96.96236,642.7,1,3.0,0.0001,5520.0,100.0,-111.0,4.466,0.032,-0.12,0.983,0.148,-0.049,1.03,0.042,-0.058,0.0
11493732,FALSE POSITIVE,61.2563628,173.83826,2455006.838,1.248,6.912,-0.067,7.633,0.105,-0.105,5120.0,70.6,-70.6,0.334628,6.82,-0.0624,0.12411,1.16709,-0.01383,39.87,12.8,-5.48,0.3137,87.54,505.0,15.43,14.85,-5.51,29.1,14.4,-14.4,0.3029,0.3239,31.079844,73.10389,85.3,1,13.0,0.8513,6144.0,184.0,-220.0,4.402,0.072,-0.217,1.091,0.35,-0.15,1.093,0.166,-0.135,0.156
11507101,CONFIRMED,38.3775486,172.82048,2455005.82,0.468,0.461,-0.267,5.588,0.113,-0.113,724.0,23.4,-23.4,0.024901,0.000184,-0.00127,1.40588,0.66103,-0.15885,2.82,0.37,-0.34,0.2163,89.44,529.0,18.53,6.72,-4.93,47.8,22.5,-22.5,0.224,0.4695,10.352898,31.946487,34.7,1,37.0,0.3889,5481.0,82.0,-74.0,4.369,0.121,-0.099,1.036,0.138,-0.124,0.915,0.061,-0.042,0.0
10910878,CONFIRMED,41.19725502,165.00404,2454998.004,0.045,0.337,-0.045,4.6297,0.0633,-0.0633,2210.0,45.5,-45.5,0.041693,0.00118,-0.000613,3.9471,0.11711,-0.98055,3.86,0.15,-0.33,0.217,89.96,439.0,8.76,1.27,-1.9,70.75,2.1,-2.1,0.1451,0.582,11.918161,37.877567,51.2,3,26.0,0.1551,5031.0,75.0,-83.0,4.485,0.083,-0.028,0.848,0.033,-0.072,0.801,0.052,-0.03,0.123
10910878,CONFIRMED,6.252962249,171.30126,2455004.301,0.105,0.329,-0.105,2.5819,0.0426,-0.0426,1040.0,24.5,-24.5,0.028604,0.00103,-0.000484,3.28707,0.14618,-1.14248,2.65,0.1,-0.23,0.0617,89.68,823.0,108.3,15.73,-23.44,18.94,0.842,-0.842,0.1451,0.582,5.834264,35.96252,47.1,3,167.0,0.7587,5031.0,75.0,-83.0,4.485,0.083,-0.028,0.848,0.033,-0.072,0.801,0.052,-0.03,0.236
10987985,CONFIRMED,16.01308419,176.3608,2455009.361,0.799,0.097,-0.551,3.2554,0.0791,-0.0791,1120.0,39.4,-39.4,0.034369,0.00317,-0.00437,1.10942,3.17981,-0.14515,3.1,0.34,-0.31,0.1148,88.14,593.0,29.31,11.77,-8.24,24.7,11.8,-11.8,0.1496,0.5746,8.468995,31.066507,33.2,1,65.0,0.8555,5015.0,164.0,-149.0,4.499,0.092,-0.115,0.826,0.091,-0.082,0.785,0.085,-0.056,0.167
11018648,CONFIRMED,32.62876672,194.1019,2455027.102,0.021,0.402,-0.021,4.7971,0.058,-0.058,1800.0,25.4,-25.4,0.03852,0.000971,-0.000365,2.79093,0.07518,-0.76489,3.36,0.76,-0.33,0.1889,89.98,506.0,15.55,10.51,-4.18,53.95,1.5,-1.5,0.2521,0.421,14.0889,61.372303,80.0,2,34.0,0.6386,5586.0,152.0,-152.0,4.56,0.05,-0.15,0.798,0.181,-0.077,0.844,0.097,-0.078,0.047
11018648,CONFIRMED,91.7732862,193.8378,2455026.838,0.606,0.335,-0.4,6.473,0.204,-0.204,652.0,36.2,-36.2,0.02432,0.00705,-0.00122,1.60558,1.35632,-1.4525,2.12,0.48,-0.21,0.3764,89.61,359.0,3.92,2.64,-1.06,89.4,37.8,-37.8,0.2521,0.421,6.9461374,14.678595,19.1,2,11.0,0.7668,5586.0,152.0,-152.0,4.56,0.05,-0.15,0.798,0.181,-0.077,0.844,0.097,-0.078,0.599
11138155,CONFIRMED,4.959319244,172.2585292,2455005.259,0.831,0.016,-0.004,2.22739,0.0075,-0.0075,9800.0,20.0,-20.0,0.103379,0.00125,-7.4e-05,1.46169,0.05503,-0.18338,12.21,1.96,-1.46,0.0565,86.15,1103.0,349.4,146.52,-93.21,12.386,0.466,-0.466,0.2602,0.4096,58.764744,670.4895,696.5,1,269.0,0.0517,5712.0,77.0,-77.0,4.359,0.11,-0.11,1.082,0.173,-0.13,0.976,0.073,-0.055,0.705
